,player_name,birth_year,birthplace,popularity
584,Nacho Romero,1973,Pedroche,6
585,Armin Andres,1959,Bamberg,8
586,Jan Jagla,1981,Berlin,16
587,Mario Stojić,1980,Mannheim,12
588,Boniface N'Dong,1977,Dakar,12
589,Alberto de Carvalho,1956,Luanda,6
590,Ulrich Peters,1957,Augsburg,7
591,Mike Jackel,1959,Vancouver,7
592,Per Günther,1988,Hagen,12
593,Heiko Schaffartzik,1984,Berlin,19
594,Moritz Kleine-Brockhoff,1968,Essen,8
595,Tim Hardaway,1966,Chicago,28
596,Glen Rice,1967,Flint,26
597,J. J. Barea,1984,Mayagüez,29
598,Carlton Myers,1971,London,16
599,Rickey Paulding,1982,Detroit,8
600,Brian Grant,1972,Columbus,13
601,Marcin Gortat,1984,Łódź,36
602,Jacky Chazalon,1945,Alès,9
603,Spud Webb,1963,Dallas,26
604,Yann Bonato,1972,Cannes,14
605,Courtney Lee,1985,Indianapolis,26
606,Adrian Dantley,1955,"Washington, D.C.",21
607,Ron Harper,1964,Dayton,28
608,Bill Walton,1952,La Mesa,35
609,Steve Francis,1977,Silver Springs,27
610,Caleb Green,1985,Tulsa,10
611,JJ Redick,1984,Cookeville,30
612,Samuel Dalembert,1981,Port-au-Prince,25
613,Win Wilfong,1933,Puxico,7
614,Haywoode Workman,1966,Charlotte,10
615,Michael Umeh,1984,Houston,14
616,Stephen Curry,1988,Akron,67
617,Dimitris Diamantidis,1980,Kastoria,27
618,Adrian Griffin,1974,Wichita,14
619,Charles Shackleford,1966,Kinston,8
620,Robert Horry,1970,Andalusia,27
621,Eddie Basden,1983,New York City,11
622,Drew Gooden,1981,Oakland,25
623,Dewayne Jefferson,1979,West Point,7
624,Michael Dickerson,1975,Greenville,12
625,David Andersen,1980,Melbourne,31
626,Sergio Llull,1987,Maó,30
627,Sani Bečirović,1981,Maribor,24
628,Mahershala Ali,1974,Oakland,55
629,Ken Keller,1922,Brooklyn,6
630,Tyreke Evans,1989,Chester,26
631,Bo Lamar,1951,Columbus,10
