,university_name,founding_year,city,popularity
560,National Academy of Visual Arts and Architecture,1917.0,,13
561,University of Derby,1851.0,,16
562,University of Toamasina,1988.0,,8
563,Institute for Tourism Studies,1995.0,,5
564,Fatima Jinnah Medical College,,,5
565,Indian Institute of Chemical Technology,1983.0,,5
566,Russian-Tajik Slavonic University,1996.0,,10
567,Brandon University,1890.0,,11
568,University of the Basque Country,1980.0,,27
569,National Dong Hwa University,1994.0,,7
570,Middlebury Institute of International Studies at Monterey,1955.0,,5
571,Alma Mater Europaea,2010.0,,10
572,Duquesne University,1878.0,,16
573,St. John's University,1879.0,,11
574,Ukrainian Free University,1921.0,,11
575,Kookmin University,1946.0,,10
576,Helsinki University of Technology,1849.0,,23
577,Udako Euskal Unibertsitatea,1973.0,,5
578,National University of Mongolia,1942.0,,25
579,South East European University,2001.0,,12
580,Taylor University,1846.0,,7
581,Ave Maria University,1998.0,,8
582,University of Economics in Bratislava,1940.0,,12
583,Solent University,2005.0,,13
584,Chiang Mai Rajabhat University,1924.0,,6
585,Faculty of Political Science in Sarajevo,1961.0,,6
586,Isfahan University of Technology,1977.0,,6
587,Stavropol State Agrarian University,1930.0,,6
588,Northeast Ohio Medical University,1973.0,,5
589,Seton Hill University,1883.0,,5
590,Lund University,1666.0,,61
591,Sahand University of Technology,1989.0,,5
592,King Khalid University,1998.0,,5
593,Mejiro University,1918.0,,5
594,University of Texas Rio Grande Valley,2015.0,,8
595,Astrakhan State Medical Academy,1918.0,,6
596,Dongduk Women's University,1950.0,,6
597,International University of Novi Pazar,2002.0,,8
598,Rivne State Humanitarian University,1940.0,,5
599,Lithuanian Sports University,1945.0,,7
600,Quest University,2002.0,,5
601,University of Roehampton,1975.0,,13
602,Kazakh National Agrarian University,1929.0,,8
603,Musashi University,1922.0,,7
604,University of Jinan,1948.0,,8
605,Transnational University Limburg,2000.0,,6
606,Sarajevo Music Academy,1955.0,,5
607,National University of Architecture and Construction of Armenia,1921.0,,10
608,Odesa State Environmental University,1932.0,,5
609,Kinnaird College for Women,1913.0,,7
610,Alzahra University,1964.0,,7
611,Tafakkur University,1995.0,,5
612,Zhejiang University,1897.0,,45
613,Tambov State Technical University,1958.0,,7
614,Romanian-American University,1991.0,,5
615,University of Dohuk,1992.0,,12
616,Hawler Medical University,2005.0,,8
617,Sudan University of Science and Technology,1932.0,,7
618,University of Aruba,1988.0,,6
619,Wheaton College,1834.0,,11
620,Gheorghe Asachi Technical University of Iași,1937.0,,14
621,Free University of Brussels,1834.0,,12
622,Guangzhou University,2000.0,,7
623,Altai State Pedagogical Academy,1933.0,,9
624,Adam Mickiewicz University in Poznań,1919.0,,32
625,Tashkent State Technical University,1920.0,,6
626,Calvin University,1876.0,,12
627,Université de Buéa,1992.0,,6
628,Kyushu Dental University,1949.0,,6
629,Moscow Architectural Institute,1933.0,,12
630,University of Asmara,1958.0,,11
631,Shandong University,1901.0,,20
632,Shenzhen University,1983.0,,9
633,Nigerian Defence Academy,1964.0,,5
634,Dr. Babasaheb Ambedkar Open University,1994.0,,5
635,Dr. Babasaheb Ambedkar Technological University,1989.0,,6
636,Norwegian University of Life Sciences,1859.0,,22
637,Oakland University,1957.0,,12
638,University of El Imam El Mahdi,1994.0,,5
639,Mother Teresa Women's University,1984.0,,5
640,Georgia Southern University-Armstrong Campus,1935.0,,10
641,University of Central Punjab,2002.0,,5
642,Purbanchal University,1993.0,,7
643,University of New England,1831.0,,6
644,University of Piura,1969.0,,10
645,Northwestern University in Qatar,2008.0,,6
646,California Institute of Integral Studies,1968.0,,5
647,Russian Presidential Academy of National Economy and Public Administration,1977.0,,18
648,Yerevan State Institute of Theatre and Cinematography,1944.0,,11
649,Academy of Public Administration of Azerbaijan,1999.0,,8
650,Ștefan cel Mare University of Suceava,1990.0,,10
651,University of Veterinary Medicine,1851.0,,7
652,Uzhhorod National University,1945.0,,12
653,Lyceum of the Philippines University,1952.0,,5
654,Universidad de Sta. Isabel,1868.0,,5
655,Metropolitan University Prague,2001.0,,9
656,Sumy National Agrarian University,1977.0,,7
657,Bashkir State University,1909.0,,25
658,William Woods University,1870.0,,6
659,National Kaohsiung University of Science and Technology,2018.0,,5
660,Islamic University of Niger,1974.0,,8
661,State Agrarian University of Moldova,1933.0,,6
662,Marine Corps University,1989.0,,6
663,National University of Córdoba,1613.0,,21
664,Zhejiang Gongshang University,1911.0,,5
665,Bashkir State Pedagogical University,1967.0,,8
666,Aleksandër Moisiu University of Durrës,2005.0,,13
667,Saint Mary's University,1840.0,,9
668,Shanghai Maritime University,1909.0,,5
669,Knowledge University,,,5
